pair_id,doi_r,verdict
7515b1bbeace99f4a5dc7023c2bf4963,10.31234/osf.io/fg8yz,SELF_LINK
e76630074c4c2cdf32fe772db838ce77,10.4018/ijom.2015100102,OK
2c21f49c52e0a24e28eb11ce402eab62,10.1177/1948550618766399,SELF_LINK
3b05b3e237132d255d4937610ec569be,10.1037/apl0000891,BAD_LINK
2a9f3d39b2efd947c52460bf8ea38915,10.1177/1368430219839763,BAD_LINK
aa7234f997183a17ac308c506315d348,10.1038/ijo.2017.70,BAD_LINK
ec752b45b73a0450b4d5fc138f658535,10.3389/fpsyg.2013.00632,BAD_LINK
959187d52f6054e5eeafe77288dede29,10.1038/s41598-017-02721-0,BAD_LINK
0d340b1c105a20527643b138da80234c,10.5465/amj.2014.0261,BAD_LINK
049548224b7f29c08ac31ddecaa131e8,10.7892/boris.45134,SELF_LINK
2e9d0f9e1b78cfdd3aa242bcd8dc0e2e,10.16930/2237-7662202131531,OK
e21e709cda17231cadffcb7987c7bb29,10.16930/2237-766220213153,OK
ec272e9acf9c6369d9bf666097b89afa,10.1027/1864-9335/a000491,SELF_LINK
c57a45c86353e3a6f84bfc8aca1246fc,10.1177/105477389400300106,OK
18b80414a35b02daae4b9ef9d51608d0,10.1177/0160017619869781,already_pending
